Asia,asia
East Asia,eastasia
Asia Pacific,asiapacific
Southeast Asia,southeastasia
Australia,australia
Australia Central,australiacentral
Australia Central 2,australiacentral2
Australia East,australiaeast
Australia Southeast,australiasoutheast
Brazil,brazil
Brazil South,brazilsouth
Brazil Southeast,brazilsoutheast
Canada,canada
Canada Central,canadacentral
Canada East,canadaeast
China East,chinaeast
China East 2,chinaeast2
China East 3,chinaeast3
China North,chinanorth
China North 2,chinanorth2
China North 3,chinanorth3
Europe,europe
North Europe,northeurope
West Europe,westeurope
France Central,francecentral
France South,francesouth
Germany Central,germanycentral
Germany North,germanynorth
Germany Northeast,germanynortheast
Germany West Central,germanywestcentral
Global,global
India,india
Central India,centralindia
South India,southindia
West India,westindia
Israel Central,israelcentral
Italy North,italynorth
Japan,japan
Japan East,japaneast
Japan West,japanwest
Korea,korea
Korea Central,koreacentral
Korea South,koreasouth
Norway,norway
Norway East,norwayeast
Norway West,norwaywest
Poland Central,polandcentral
Qatar Central,qatarcentral
South Africa North,southafricanorth
South Africa West,southafricawest
Singapore,singapore
Sweden,sweden
Sweden Central,swedencentral
Sweden South,swedensouth
Switzerland North,switzerlandnorth
Switzerland West,switzerlandwest
UAE Central,uaecentral
UAE North,uaenorth
United Kingdom,uk
UK South,uksouth
UK West,ukwest
United States,unitedstates
Central US,centralus
East US,eastus
East US 2,eastus2
North Central US,northcentralus
South Central US,southcentralus
West US,westus
West US 2,westus2
West US 3,westus3
West Central US,westcentralus
